year,month,rain_mm,Kinneret_Level_end_of_month,tmp_air_max,tmp_air_min,rain_day,sns_drt,Date,Kinneret_Level_end_of_last_month,Change_from_last_month,tmp_air_max_binned,tmp_air_min_binned
1984,8,5.0,-210.36,30.922826420890935,18.900583717357907,2,701.3225806451613,1984-08-01,-209.89,-0.4700000000000273,28-31,16-19
1984,9,0.0,-210.55,31.195336996336998,17.521573870573867,0,606.9,1984-09-01,-210.36,-0.18999999999999773,31-34,16-19
1984,10,265.29158786657797,-210.74,28.694285714285712,15.529769585253456,8,530.4193548387096,1984-10-01,-210.55,-0.18999999999999773,23-28,12-16
1984,11,936.8457402985845,-210.81,22.095333333333333,11.934000000000001,26,438.2,1984-11-01,-210.74,-0.06999999999999318,17-23,8-12
1985,1,937.1229186040221,-210.74,17.66129032258064,8.338494623655915,23,298.5483870967742,1985-01-01,-210.81,0.06999999999999318,11-17,3-8
1985,2,1828.1483841878155,-209.85,15.053809523809523,6.021666666666667,23,332.57142857142856,1985-02-01,-210.74,0.8900000000000148,11-17,3-8
1985,3,140.72501765191402,-209.68,20.698279569892478,8.025806451612903,8,460.06451612903226,1985-03-01,-209.85,0.1699999999999875,17-23,3-8
1985,4,524.9454710425038,-209.63,23.94625396825397,11.016333333333334,9,513.5,1985-04-01,-209.68,0.05000000000001137,23-28,8-12
1985,5,15.928896202570902,-209.81,28.317204301075268,15.502718894009217,7,506.35483870967744,1985-05-01,-209.63,-0.18000000000000682,23-28,12-16
1985,6,0.0,-210.12,30.331380952380957,17.26609523809524,0,729.3,1985-06-01,-209.81,-0.3100000000000023,28-31,16-19
1985,7,0.0,-210.48,31.607403993855613,18.451843317972347,0,736.0645161290323,1985-07-01,-210.12,-0.3599999999999852,31-34,16-19
1985,8,0.0,-210.88,33.26645161290322,21.604301075268815,0,635.1290322580645,1985-08-01,-210.48,-0.4000000000000057,31-34,19-23
1985,9,8.410714285714285,-211.19,31.319333333333343,18.42244444444445,3,601.4,1985-09-01,-210.88,-0.3100000000000023,31-34,16-19
1985,10,380.5225316140097,-211.39,26.45958525345622,14.27290322580645,16,534.5806451612904,1985-10-01,-211.19,-0.19999999999998863,23-28,12-16
1985,11,389.36251592450174,-211.63,25.04155555555555,13.09,10,437.8,1985-11-01,-211.39,-0.2400000000000091,23-28,12-16
1985,12,1119.2515870019058,-211.73,18.127096774193543,8.716559139784946,18,377.2258064516129,1985-12-01,-211.63,-0.09999999999999432,17-23,8-12
1986,1,1222.8673246481299,-211.55,16.510128083491463,7.607020872865274,24,379.741935483871,1986-01-01,-211.73,0.1799999999999784,11-17,3-8
1986,2,1149.1471583658372,-211.14,17.943045112781952,7.003626713843432,20,415.17857142857144,1986-02-01,-211.55,0.410000000000025,17-23,3-8
1986,3,362.3366430224526,-211.08,21.039558573853995,8.904584040747027,17,486.0967741935484,1986-03-01,-211.14,0.05999999999997385,17-23,8-12
1986,4,277.2615748854083,-211.05,26.273157894736833,12.886140350877195,9,512.1,1986-04-01,-211.08,0.030000000000001137,23-28,12-16
1986,5,482.51620736340567,-211.09,24.86310795965245,12.40967741935484,11,635.3225806451613,1986-05-01,-211.05,-0.03999999999999204,23-28,12-16
1986,6,29.255607355607353,-211.31,30.002526315789467,17.493947368421058,4,716.3,1986-06-01,-211.09,-0.21999999999999886,28-31,16-19
1986,7,0.0,-211.6,31.27758913412563,18.7068458781362,0,722.0322580645161,1986-07-01,-211.31,-0.28999999999999204,31-34,16-19
1986,8,0.0,-212.0,31.689646697388632,19.547809847198636,0,688.0645161290323,1986-08-01,-211.6,-0.4000000000000057,31-34,19-23
1986,9,28.5349508746705,-212.28,31.981219715956556,19.548421052631582,4,616.7,1986-09-01,-212.0,-0.28000000000000114,31-34,19-23
1986,10,603.9396500266405,-212.34,27.091090629800316,15.58878648233487,12,523.741935483871,1986-10-01,-212.28,-0.060000000000002274,23-28,12-16
1986,11,2427.2477193080204,-212.06,19.032063492063497,9.796507936507934,20,375.8,1986-11-01,-212.34,0.28000000000000114,17-23,8-12
1986,12,1546.8369875406618,-211.73,15.665645161290321,6.706774193548386,22,371.7096774193548,1986-12-01,-212.06,0.3300000000000125,11-17,3-8
1987,1,1074.101074842606,-210.91,16.632419354838706,7.15516129032258,16,365.2258064516129,1987-01-01,-211.73,0.8199999999999932,11-17,3-8
1987,2,566.9598298118703,-210.5,18.59732142857143,8.417857142857143,14,432.42857142857144,1987-02-01,-210.91,0.4099999999999966,17-23,3-8
1987,3,1147.3353968843323,-209.81,15.863709677419353,6.3782078853046595,25,357.7741935483871,1987-03-01,-210.5,0.6899999999999977,11-17,3-8
1987,4,153.86138529042958,-209.55,21.763430799220277,9.620038986354775,15,598.1,1987-04-01,-209.81,0.2599999999999909,17-23,8-12
1987,5,32.689542483660134,-209.54,27.784550084889638,12.799490662139213,5,660.8709677419355,1987-05-01,-209.55,0.010000000000019327,23-28,12-16
1987,6,0.0,-209.68,29.608421052631574,15.963333333333335,0,732.9,1987-06-01,-209.54,-0.14000000000001478,28-31,12-16
1987,7,0.0,-209.94,32.03209677419355,19.838763440860216,0,708.0,1987-07-01,-209.68,-0.2599999999999909,31-34,19-23
1987,8,0.0,-210.27,32.58804659498208,20.475428221090365,0,689.2258064516129,1987-08-01,-209.94,-0.3300000000000125,31-34,19-23
1987,9,0.0,-210.52,31.32600877192983,18.539798245614044,0,619.0,1987-09-01,-210.27,-0.25,31-34,16-19
1987,10,695.3863068317866,-210.71,26.221272401433687,14.833924731182794,16,468.0,1987-10-01,-210.52,-0.18999999999999773,23-28,12-16
1987,11,469.941446050605,-210.82,22.825517543859647,11.275964912280704,8,466.2,1987-11-01,-210.71,-0.10999999999998522,17-23,8-12
1987,12,2435.6719416574256,-210.66,16.68543010752688,9.790143369175626,25,248.2258064516129,1987-12-01,-210.82,0.1599999999999966,11-17,8-12
1988,1,1399.7368345743203,-210.04,14.775645161290322,7.463896434634977,26,314.7096774193548,1988-01-01,-210.66,0.6200000000000045,11-17,3-8
1988,2,1786.8740773810846,-209.22,15.123505747126437,7.196034482758621,24,272.7931034482759,1988-02-01,-210.04,0.8199999999999932,11-17,3-8
1988,3,928.2084272518058,-208.95,17.50209677419355,8.10588285229202,22,406.741935483871,1988-03-01,-209.22,0.27000000000001023,11-17,3-8
1988,4,179.78404506695892,-208.8,23.939768518518523,11.035880991285403,11,493.2,1988-04-01,-208.95,0.14999999999997726,23-28,8-12
1988,5,5.125,-208.81,29.405819656668562,15.137577815506505,4,673.1612903225806,1988-05-01,-208.8,-0.009999999999990905,28-31,12-16
1988,6,1.4190476190476191,-209.05,30.647807017543858,17.67510721247563,3,711.7,1988-06-01,-208.81,-0.2400000000000091,28-31,16-19
1988,7,30.5,-210.0,32.735766836445954,20.976551594038856,2,718.3548387096774,1988-07-01,-209.05,-0.9499999999999886,31-34,19-23
1988,8,0.0,-209.64,32.178348147408364,20.758384100669126,0,689.2258064516129,1988-08-01,-210.0,0.36000000000001364,31-34,19-23
1988,9,20.064529914529913,-209.94,31.75031573214081,18.45483935328517,3,624.9,1988-09-01,-209.64,-0.30000000000001137,31-34,16-19
1988,10,316.85395945754664,-210.16,26.775970682557123,14.928552326420098,18,546.6774193548387,1988-10-01,-209.94,-0.21999999999999886,23-28,12-16
1988,11,723.4884485474996,-210.28,20.256101364522422,9.571998050682259,20,436.2,1988-11-01,-210.16,-0.12000000000000455,17-23,8-12
1988,12,1740.23767472505,-210.24,16.394255800792305,8.104301075268816,21,294.0,1988-12-01,-210.28,0.03999999999999204,11-17,3-8
1989,1,866.620976043249,-210.15,12.862969251084705,3.644826170422895,25,335.4193548387097,1989-01-01,-210.24,0.09000000000000341,11-17,
1989,2,583.5060677582236,-210.11,16.23970342522974,4.891541353383459,15,450.42857142857144,1989-02-01,-210.15,0.03999999999999204,11-17,3-8
1989,3,934.9898690007844,-210.02,19.102329749103948,8.103272967364646,16,456.0,1989-03-01,-210.11,0.09000000000000341,17-23,3-8
1989,4,49.22916666666667,-210.16,28.153398692810455,12.43494553376906,2,634.7,1989-04-01,-210.02,-0.13999999999998636,23-28,12-16
1989,5,19.54910160015423,-210.4,29.249066213921896,15.055451801546878,4,706.6451612903226,1989-05-01,-210.16,-0.2400000000000091,28-31,12-16
1989,6,63.916666666666664,-210.74,29.421425868593058,16.599957358674466,1,751.5,1989-06-01,-210.4,-0.3400000000000034,28-31,16-19
1989,7,0.0,-211.2,31.455597722960146,19.768880455407963,0,735.3870967741935,1989-07-01,-210.74,-0.45999999999997954,31-34,19-23
1989,8,0.0,-211.63,31.77571157495256,19.700498102466785,0,699.9677419354839,1989-08-01,-211.2,-0.4300000000000068,31-34,19-23
1989,9,16.238970588235293,-211.94,30.79616666666667,18.365333333333336,2,612.9,1989-09-01,-211.63,-0.3100000000000023,28-31,16-19
1989,10,568.7787171594296,-212.25,26.41693548387096,14.440645161290325,16,519.6774193548387,1989-10-01,-211.94,-0.3100000000000023,23-28,12-16
1989,11,1185.935778019294,-212.3,22.38616666666667,12.444833333333333,18,425.9,1989-11-01,-212.25,-0.05000000000001137,17-23,12-16
1989,12,948.5955660495333,-212.13,16.803370118845496,7.472674966987358,19,356.51612903225805,1989-12-01,-212.3,0.17000000000001592,11-17,3-8
1990,1,1499.0826408952523,-211.95,13.808972835314089,5.918404074702886,27,267.2903225806452,1990-01-01,-212.13,0.18000000000000682,11-17,3-8
1990,2,1337.2899770304193,-211.69,15.033280075187973,6.041945488721805,23,401.14285714285717,1990-02-01,-211.95,0.2599999999999909,11-17,3-8
1990,3,792.4367724537963,-211.42,18.795945104697225,7.983648368232408,16,486.8709677419355,1990-03-01,-211.69,0.27000000000001023,17-23,3-8
1990,4,348.8683729416389,-211.24,23.4935350877193,10.776943469785577,9,530.0,1990-04-01,-211.42,0.1799999999999784,23-28,8-12
1990,5,46.51103678929766,-211.31,26.87911714770797,13.488455008488964,5,660.483870967742,1990-05-01,-211.24,-0.06999999999999318,23-28,12-16
1990,6,1.0,-211.51,29.956938596491227,16.769324561403504,1,738.1,1990-06-01,-211.31,-0.19999999999998863,28-31,16-19
1990,7,0.0,-211.88,31.531644972646667,19.212412752310886,0,725.3225806451613,1990-07-01,-211.51,-0.37000000000000455,31-34,16-19
1990,8,57.30434782608695,-212.27,31.614762308998294,19.43440011318619,1,710.516129032258,1990-08-01,-211.88,-0.3900000000000148,31-34,19-23
1990,9,5.25,-212.56,29.951833333333337,18.106666666666673,4,608.3,1990-09-01,-212.27,-0.28999999999999204,28-31,16-19
1990,10,168.28267263283558,-212.76,29.050382003395587,16.577792092501973,10,548.7096774193549,1990-10-01,-212.56,-0.19999999999998863,28-31,16-19
1990,11,260.25382748816725,-212.85,24.908456140350882,13.562779727095515,8,460.0,1990-11-01,-212.76,-0.09000000000000341,23-28,12-16
