year,rain_mm,Kinneret_Level_end_of_year,KinneretInPrecent_end_of_year,sns_drt,rpr_hail,rpr_snow,rpr_frost,rpr_fog,rpr_thunder,rpr_lightening,rpr_sand_storm,rpr_gale,rain_day,tmp_air_max,tmp_air_min,Kinneret_Level_end_of_last_year,Change_from_last_year
1992,9981.68850806522,-209.56,0.808219178082193,493.3972602739726,0.024332463579038927,0.024242956434737253,0.009321591650358773,0.13065607147798924,0.07383798849552271,0.00963687758208306,0.0021298108284409653,0.010963416128287412,149,23.16955988749741,12.63989508959075,-212.19,2.6299999999999955
1993,4380.626863865379,-209.93,0.7519025875190263,533.1369863013699,0.012448358338769297,0.009876060013046315,0.008447488584474885,0.17402152641878693,0.06616873233311589,0.017290715372907155,0.00045662100456621003,0.0063210672396812615,138,24.49117415416057,13.069449532372433,-209.56,-0.37000000000000455
1994,9298.75848091865,-210.37,0.6849315068493158,524.2931506849316,0.029497716894977166,0.001755915317559153,0.0040606653620352245,0.3227136333985651,0.14907262448358338,0.04747553816046968,0.007534246575342466,0.005766918639601959,153,24.723698939128642,14.004375287533906,-209.93,-0.4399999999999977
1995,5715.954645752574,-211.08,0.5768645357686447,555.8712328767124,0.01134514368112061,0.0016960208741030657,0.006897742975587289,0.23535333768210467,0.05965783075372118,0.008096424123821383,0.0,0.0011007827788649706,116,24.305927967918695,13.043620706513796,-210.37,-0.710000000000008
1996,6744.477254738879,-211.58,0.5007610350076097,514.8524590163935,0.02308743169398907,0.0013894727009481106,0.0037523493723057243,0.34127634660421546,0.10336000520426747,0.01967213114754099,0.0022768670309653914,0.0014571948998178506,151,24.668789468044913,13.75362002120376,-211.08,-0.5
1997,8011.360521646889,-212.12,0.41856925418569296,523.7342465753425,0.02508153946510111,0.00434177694451667,0.026027397260273966,0.22107305936073074,0.14756251358991082,0.039771689497716894,0.0027397260273972603,0.0022616169755573464,149,24.24938129555574,13.51115096700003,-211.58,-0.539999999999992
1998,5914.655612826278,-212.53,0.3561643835616447,524.5631868131868,0.016544566544566545,0.005174739790124406,0.01657509157509157,0.2962454212454212,0.08623757195185767,0.021520146520146517,0.008470695970695972,0.0015698587127158554,146,25.468566392796568,14.570517131697724,-212.12,-0.4099999999999966
1999,3564.0357658161442,-213.23,0.24961948249619734,550.3719008264463,0.0023102471449578887,0.00016204829039053638,0.0,0.1636822773186411,0.050245889708699615,0.008494031221303948,0.0015394587587100957,0.0,105,25.978550074837013,14.746378798038396,-212.53,-0.6999999999999886
2000,7757.333113699932,-213.65,0.18569254185692544,529.027397260274,0.017031963470319635,0.004977328607465593,0.0220221787345075,0.2627397260273972,0.09904109589041095,0.015296803652968035,0.0018264840182648401,0.0011741682974559687,127,24.700092951645,14.338526577684117,-213.23,-0.4200000000000159
2001,6357.7779310990545,-214.68,0.028919330289192986,530.2931506849316,0.007031963470319634,0.0010085804606352552,0.010532724505327249,0.14301369863013708,0.08300717547292889,0.0321917808219178,0.0025114155251141548,0.0012512601553697445,133,25.525242679216547,14.970814004813715,-213.65,-1.0300000000000011
2002,8557.485574275493,-214.08,0.12024353120243422,522.9669421487604,0.026492194674012853,0.002716559534741353,0.015381083562901745,0.10674931129476578,0.10998950544405088,0.02024793388429752,0.0,0.0010532215838870906,141,25.528696724151253,15.191630073069478,-214.68,0.5999999999999943
2003,8477.988216279431,-211.03,0.5844748858447499,510.041095890411,0.03712328767123288,0.002945000205274177,0.001598173515981735,0.13890410958904117,0.10786811362153825,0.023287671232876714,0.0043378995433789955,0.001138587439957303,141,25.231707755462306,15.419754781693529,-214.08,3.0500000000000114
2004,6268.854027506441,-210.84,0.613394216133943,519.5506849315068,0.01050228310502283,0.006581865622961513,0.014094955489614243,0.12127853881278544,0.07442922374429223,0.01757990867579909,0.0027397260273972603,0.0035971989098850317,122,25.035675145571773,14.798686189185833,-211.03,0.18999999999999773
2005,6065.861699424491,-211.64,0.49162861491628945,519.2191780821918,0.009208103130755063,0.006196999347684279,0.009708737864077669,0.13351749539594834,0.045684113865932054,0.01285583103764922,0.0,0.0020297999928732503,112,24.90556980686864,14.769662666155126,-210.84,-0.799999999999983
2006,5862.185562487009,-212.18,0.40943683409436843,515.0054794520548,0.019688644688644688,0.0029354207436399216,0.04079457364341085,0.14681440443213295,0.08415750915750916,0.024725274725274724,0.0,0.001737557217009272,122,24.71172014661126,14.52785302742799,-211.64,-0.5400000000000205
2007,5628.209408086952,-212.59,0.34703196347032017,506.1026392961877,0.0166177908113392,0.0008378718056137411,0.029513888888888888,0.21221221221221218,0.08763440860215052,0.021994134897360705,0.0,0.0023823037870904676,123,24.76068125954221,14.872943457028114,-212.18,-0.4099999999999966
2008,2224.471225667766,-212.53,0.3561643835616447,497.7674418604651,0.01937984496124031,0.02170542635658915,0.12385321100917432,0.12919896640826875,0.06589147286821706,0.02583979328165375,0.0,0.004764565229681509,59,20.904823798938615,10.406181148712443,-212.59,0.060000000000002274
2015,6397.902774092877,-213.035,0.279299847793,535.1022099447514,0.012430939226519336,0.006215469613259668,0.003246753246753247,0.05617455896007428,0.070902394106814,0.009668508287292817,0.011049723756906077,0.0030460250398501943,130,26.05821288172916,15.620658473325458,-212.53,-0.5049999999999955
2016,5543.606191635913,-213.61,0.19178082191780704,548.8328690807799,0.006983240223463687,0.004178272980501393,0.0,0.04596100278551532,0.04456824512534819,0.0013966480446927375,0.0,0.002715292245031718,102,26.616066570348174,15.779561309146398,-213.035,-0.575000000000017
2017,3222.4717733659227,-214.38,0.07458143074581577,548.4902506963788,0.004178272980501393,0.004178272980501393,,0.03688141923436041,0.03899721448467967,0.001392757660167131,0.0,0.0010973242171013757,101,26.142644763088175,15.224857629462063,-213.61,-0.7699999999999818
2018,7522.453661756944,-214.47,0.06088280060882893,515.5041551246537,0.002770083102493075,0.002770083102493075,0.0,0.0332409972299169,0.08264081255771007,0.012465373961218837,0.0,0.002345821046674411,144,26.428608292197517,16.28712533287757,-214.38,-0.09000000000000341
2019,8064.460604687099,-211.55,0.505327245053272,545.9166666666666,0.006944444444444444,0.004166666666666667,0.0,0.022222222222222223,0.0800925925925926,0.011111111111111112,0.0,0.003580124801968517,125,25.91934773035229,15.413667604132542,-214.47,2.9199999999999875
2020,6178.458081292712,-209.92,0.7534246575342499,532.5598802395209,0.008982035928143712,0.005988023952095809,,0.03293413173652695,0.06287425149700598,0.011976047904191617,0.0,0.0031901921962526557,109,26.25876772850054,15.983838696280563,-211.55,1.6300000000000239
